hostname,pl_name,st_teff,st_mass,st_rad,st_lum,st_met,st_age,st_spectype,ra,dec,sy_dist,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_orbper,pl_bmasse,pl_rade,pl_dens,pl_eqt
"TOI-5678","TOI-5678 b",5485.00,0.905000,0.938000,-0.13069,0.0000,8.5000,"G7 V",47.3841872,-34.1984808,165.39300000,0.2490000000,0.140000,89.83000,47.73022000000,20.00000000,4.91000000,0.928000,513.00
"LP 261-75 A","LP 261-75 b",3138.00,0.220000,0.308000,-2.08618,,0.1500,"M4.5 V",147.7685281,35.9685562,33.92800000,450.0000000000,,,,6674.39654700,12.10000000,20.700000,1500.00
"TOI-771","TOI-771 c",3370.00,0.220000,0.232000,-2.20343,-0.1300,6.7000,"M3",164.1138903,-72.9851736,25.27880000,0.0460000000,0.065000,,7.61000000000,2.87000000,1.50000000,4.670000,365.00
"TOI-1203","TOI-1203 b",5737.00,0.886000,1.179000,0.12977,-0.3900,12.5000,"G3 V",168.2267358,-34.4069371,64.99430000,0.0486900000,0.067000,84.29000,4.15728880000,3.51000000,1.52000000,5.480000,1361.20
"TOI-469","HIP 29442 d",5289.00,0.901000,0.980000,-0.14921,0.2400,11.2000,,93.0578446,-14.6493167,68.19200000,0.0673000000,,88.90000,6.42957500000,5.14000000,1.53800000,11.000000,920.00
"HD 93385","HD 93385 d",5977.00,1.040000,1.184840,0.20683,0.0200,3.3000,"G2/G3 V",161.5627065,-41.4646040,43.34750000,0.2565000000,0.090000,,45.85000000000,8.70000000,2.89000000,1.980000,
"Kepler-279","Kepler-279 c",6689.45,1.100000,1.070000,0.51880,-0.1141,0.2200,,287.3912950,42.1948220,1037.40000000,0.2236000000,0.000000,87.09000,35.73600000000,49.40000000,4.30000000,0.300000,774.00
"HD 154088","HD 154088 b",5374.00,0.910000,0.950000,-0.13077,0.2800,8.0000,"K0 IV-V",256.1164214,-28.5838342,18.26920000,0.1340000000,0.344000,,18.56000000000,6.60000000,2.46000000,2.440000,
"Kepler-286","Kepler-286 b",5580.00,0.830000,0.863000,-0.11623,-0.2500,2.7500,,290.6761874,48.2942362,1226.85000000,0.0270000000,0.000000,89.88000,1.79630200000,2.07000000,1.24000000,5.970000,1367.00
"TOI-4214","TOI-4214 b",6370.00,1.382000,1.434000,0.48287,0.2940,1.1000,,110.2495104,-13.9262649,346.88100000,0.0501800000,0.170000,85.77000,3.49138850000,165.27077164,10.68215861,0.740000,1642.00
"HD 19615","HD 19615 b",4263.00,1.100000,32.300000,2.51455,-0.3100,6.7000,"K0",48.7813299,73.8680150,265.15500000,1.1000000000,0.200000,,402.00000000000,2701.54145950,12.60000000,7.420000,
"Kepler-809","Kepler-809 b",5734.00,0.990000,0.980000,0.00145,0.0400,4.3700,,289.0836324,48.0180689,961.40500000,0.2901000000,0.000000,88.74000,55.63934000000,9.32000000,3.01000000,1.880000,478.00
"HD 29399","HD 29399 b",4845.00,1.170000,4.500000,1.00173,0.1400,6.2000,"K1 III",68.3903471,-62.8237576,44.15180000,1.9130000000,0.050000,,892.70000000000,498.99059899,13.50000000,1.110000,
"2MASS J04372171+2651014","2M0437 b",3100.00,0.170000,0.840000,-1.16368,0.0100,0.0025,"M V",69.3405531,26.8502997,128.48400000,118.0000000000,,,,1271.31362800,13.00000000,3.180000,1450.00
"Kepler-788","Kepler-788 b",6159.00,1.160000,1.230000,0.33615,0.0500,3.0200,,290.0004154,38.5398551,1775.80000000,0.0835000000,0.000000,86.16000,8.39846269000,7.04000000,2.55000000,2.330000,984.00
"TOI-4551","TOI-4551 b",4896.00,1.310000,3.550000,0.80277,0.2300,4.9200,,184.9787579,-25.8278531,215.98600000,0.0994000000,0.101000,86.90000,9.95581000000,473.56432643,11.85910158,1.740000,1655.00
"TOI-4559","TOI-4559 b",3558.00,0.392000,0.374000,-1.69250,-0.0900,7.0000,,211.0135378,-30.0141252,31.63540000,0.0359000000,,88.64000,3.96599100000,2.59000000,1.41500000,5.020000,554.16
"TOI-4734","TOI-4734 b",6070.00,1.391000,1.857000,0.62428,0.2880,3.2000,,90.3581219,12.5478825,563.06800000,0.0740000000,0.120000,89.20000,6.23563300000,61.65871096,10.91754720,0.260000,1468.00
"TOI-5713","TOI-5713 b",3225.00,0.265300,0.299200,-2.05849,-0.0300,4.5000,"M3.5+/-0.5",208.4587323,52.6027628,40.86680000,0.0600800000,0.240000,89.37000,10.44198900000,3.78000000,1.77000000,3.750000,347.20
"K2-389","K2-389 b",5773.00,0.990000,1.094000,0.10644,0.0380,,"G3",355.6304152,-9.7135814,259.20800000,,,,8.58289000000,6.04000000,2.33000000,2.620000,932.00
